"Name";"Description"
"2CUREX.ST.ST";"2cureX"
"4C.ST.ST";"4C Group"
"AAC.ST.ST";"AAC Clyde Space"
"AAK.ST.ST";"AAK"
"ABAS.ST.ST";"ABAS Protect"
"ABB.ST.ST";"ABB"
"ABIG.ST.ST";"Abelco Investment"
"ABERA.ST.ST";"Abera Bioscience"
"ABSO.ST.ST";"Absolent Air Care"
"ABSL-B.ST.ST";"Absolicon"
"ACAD.ST.ST";"AcadeMedia"
"ACARIX.ST.ST";"Acarix"
"ACAST.ST.ST";"Acast"
"ACCON.ST.ST";"Acconeer"
"PADEL.ST.ST";"Acenta Group"
"ACOU.ST.ST";"AcouSort"
"ACRI-A.ST.ST";"Acrinova A"
"ACRI-B.ST.ST";"Acrinova B"
"ACROUD.ST.ST";"Acroud"
"ATIC.ST.ST";"Actic Group"
"ACTI.ST.ST";"Active Biotech"
"ACUC.ST.ST";"AcuCort"
"ACUVI.ST.ST";"Acuvi"
"ALIF-B.ST.ST";"AddLife"
"ANOD-B.ST.ST";"Addnode"
"ADDT-B.ST.ST";"Addtech"
"ADDV-A.ST.ST";"ADDvise Group A"
"ADDV-B.ST.ST";"ADDvise Group B"
"ADTR.ST.ST";"Adtraction"
"ADVE.ST.ST";"Advenica"
"ADVBOX.ST.ST";"Adventure Box"
"ADVT.ST.ST";"Adverty"
"AERW-B.ST.ST";"Aerowash"
"AEC.ST.ST";"Africa Energy"
"AFRI.ST.ST";"Africa Resources"
"AFRY.ST.ST";"AFRY"
"AGES-B.ST.ST";"Ages Industri"
"AGTIRA-B.ST.ST";"Agtira"
"AIK-B.ST.ST";"AIK Fotboll"
"AINO.ST.ST";"Aino Health"
"AIXIA-B.ST.ST";"Aixia"
"ALCA.ST.ST";"Alcadon Group"
"ALFA.ST.ST";"Alfa Laval"
"ALIG.ST.ST";"Alimak"
"ALLEI.ST.ST";"Alleima"
"ATORX.ST.ST";"Alligator Bioscience"
"ALLIGO-B.ST.ST";"Alligo"
"ALM.ST.ST";"ALM Equity"
"ALPCOT-B.ST.ST";"Alpcot"
"ALVO-SDB.ST.ST";"Alvotech SDB"
"ALZCUR.ST.ST";"AlzeCure Pharma"
"ALZ.ST.ST";"Alzinova"
"AMBEA.ST.ST";"Ambea"
"AMH2-B.ST.ST";"Amhult 2"
"AMIDO.ST.ST";"Amido"
"AMNO.ST.ST";"Amnode"
"ANGL.ST.ST";"Angler Gaming"
"ANNE-B.ST.ST";"Annehem Fastigheter"
"ANNX.ST.ST";"Annexin"
"ANOT.ST.ST";"Anoto"
"ANTCO-B.ST.ST";"ANTCO Investment"
"APOTEA.ST.ST";"Apotea"
"APTA.ST.ST";"Aptahem"
"AQ.ST.ST";"AQ Group"
"AQUAT.ST.ST";"Aquaticus Real Estate"
"ARBO-A.ST.ST";"Arbona A"
"ALONNR-B.ST.ST";"Archelon Natural"
"ARCOMA.ST.ST";"Arcoma"
"ARCTIC.ST.ST";"Arctic Blue Beverages"
"ARCT.ST.ST";"Arctic Minerals"
"ARP.ST.ST";"Arctic Paper"
"ARION-SDB.ST.ST";"Arion Banki"
"ARISE.ST.ST";"Arise Windpower"
"ARJO-B.ST.ST";"Arjo"
"ARPL.ST.ST";"Arla Plast"
"AGROUP.ST.ST";"Arlandastad"
"ACE.ST.ST";"Ascelia Pharma"
