name,description
ABB.ST,Abb
ALFA.ST,Alfa Laval
ASSA-B.ST,Assa Abloy
AZN.ST,AstraZeneca
ATCO-A.ST,Atlas Copco A
ATCO-B.ST,Atlas Copco
ALIV-SDB.ST,Autoliv
BOL.ST,Boliden
ELUX-B.ST,Electrolux
ERIC-B.ST,Ericsson
ESSITY-B.ST,Essity
GETI-B.ST,Getinge
HM-B.ST,Hennes & Mauritz
HEXA-B.ST,Hexagon
INVE-B.ST,Investor
KINV-B.ST,Kinnevik
NDA-SEK.ST,Nordea Bank
SAND.ST,Sandvik
SCA-B.ST,SCA
SEB-A.ST,SEB
SECU-B.ST,Securitas
SKA-B.ST,Skanska
SKF-B.ST,SKF
SSAB-B.ST,SSAB
SWED-A.ST,Swedbank
SWMA.ST,Swedish Match
SHB-A.ST,Svenska handelsbanken
TEL2-B.ST,Tele2
TELIA.ST,Telia
VOLV-B.ST,Volvo
