name,description
^FTSE,Financial Times Stock Exchange 100
^GDAXI,Deutscher Aktien Index 30
^FCHI,Continuous Assisted Quotation 40
^GSPC,S&P 500
^IXIC,NASDAQ Composite
^N225,Nikkei 225
^MXX,IPC MEXICO
^NYA,NYSE COMPOSITE
^VIX,CBOE Volatility Index
^VVIX,CBOE VIX Volatility Index
^SDEX,Nations SkewDex
^DJI,Dow Jones Industrial Average
CL=F,Crude Oil
BZ=F,Brent Crude Oil
GC=F,Gold
^STOXX50E,Euro Stoxx 50
^V2TX,VSTOXX Euro Volatility Index
DX-Y.NYB,US Dollar Index (DXY)
EURUSD=X,EUR/USD
JPY=X,USD/JPY
AUDUSD=X,AUD/USD
^TNX,US 10-Year Treasury Yield
^IRX,US 13-Week T-Bill Yield
