name;description
2CUREX;2cureX
4C;4C Group
AAC;AAC Clyde Space
AAK;AAK
ABAS;ABAS Protect
ABB;ABB
ABIG;Abelco Investment
ABERA;Abera Bioscience
ABSO;Absolent Air Care
ABSL B;Absolicon
ACAD;AcadeMedia
ACARIX;Acarix
ACAST;Acast
ACCON;Acconeer
PADEL;Acenta Group
ACOU;AcouSort
ACRI A;Acrinova A
ACRI B;Acrinova B
ACROUD;Acroud
ATIC;Actic Group
ACTI;Active Biotech
ACUC;AcuCort
ACUVI;Acuvi
ALIF B;AddLife
ANOD B;Addnode
ADDT B;Addtech
ADDV A;ADDvise Group A
ADDV B;ADDvise Group B
ADTR;Adtraction
ADVE;Advenica
ADVBOX;Adventure Box
ADVT;Adverty
SX502010PI;Aerospace & Defense
AERW B;Aerowash
AEC;Africa Energy
AFRI;Africa Resources
AFRY;AFRY
AGES B;Ages Industri
AGTIRA B;Agtira
AIK B;AIK Fotboll
AINO;Aino Health
AIXIA B;Aixia
ALCA;Alcadon Group
ALFA;Alfa Laval
ALIG;Alimak
ALLEI;Alleima
ATORX;Alligator Bioscience
ALLIGO B;Alligo
ALM;ALM Equity
ALM PREF;ALM Equity Pref
ALPCOT B;Alpcot
SX601020PI;Alternative Energy
ALVO SDB;Alvotech SDB
ALZCUR;AlzeCure Pharma
ALZ;Alzinova
AMBEA;Ambea
AMH2 B;Amhult 2
AMIDO;Amido
AMNO;Amnode
ANGL;Angler Gaming
ANNE B;Annehem Fastigheter
ANNX;Annexin
ANOT;Anoto
ANTCO B;ANTCO Investment
APOTEA;Apotea
APTA;Aptahem
AQ;AQ Group
AQUAT;Aquaticus Real Estate
ARBO A;Arbona A
ALONNR B;Archelon Natural
ARCOMA;Arcoma
ARCTIC;Arctic Blue Beverages
ARCT;Arctic Minerals
ARP;Arctic Paper
ARION SDB;Arion Banki
ARISE;Arise Windpower
ARJO B;Arjo
ARPL;Arla Plast
AGROUP;Arlandastad
ACE;Ascelia Pharma
ASKER;Asker Healthcare
ASMDEE B;Asmodee
ASSA B;Assa Abloy
AZN;AstraZeneca
ATIN;Athanase Innovation
ATCO A;Atlas Copco A
ATCO B;Atlas Copco B
ATRLJ B;Atrium Ljungberg
ATANA;Attana
ATT;Attendo
ALIV SDB;Autoliv
SX4010PI;Automobiles & Parts
AZA;Avanza Bank
AVEN;Avensia
AVSALT;Avsalt Group
AVT B;Avtech
AXFO;Axfood
AXIC A;aXichem
AXOLOT;Axolot Solutions
B3;B3 Consulting
BACKA;Backaheden
BACTI B;Bactiguard
BAHN B;Bahnhof
BALCO;Balco Group
BUSER;Bambuser
SX3010PI;Banks
SX5510PI;Basic Resources
BAWAT;Bawat Water
BEGR;BE Group
BEAMMW B;BeammWave
BEIA B;Beijer Alma
BEIJ B;Beijer Ref
BEO SDB;Beowulf Mining
BERG B;Bergman & Beving
BERNER B;Berner Industrier
BESQAB;Besqab
BESQAB PREF B;Besqab Pref B
BETS B;Betsson
BETCO;Better Collective
BEYOND;Beyond Frames
BHG;BHG Group
BIBB;BiBBInstruments
BICO;BICO Group
BILI A;Bilia
BILL;Billerud
BIM;BIMobject
BINERO;Binero Group
BIOA B;BioArctic
BIOEX;Bioextrax
BIOF;Biofrigas
BIOG B;BioGaia
BINV;Bioinvent
BIOSGN;Biosergen
BIOT;Biotage
BIOVIC B;Biovica
BIOWKS;Bio-Works
BORG;Björn Borg
BLICK;Blick Global
BLUE;Bluelake Mineral
SHIP;BlueYield
BODY;Bodyflight
BOHO;Boho Group
BOHO PREF;Boho Group Pref
BOKUS;Bokusgruppen
BOL;Boliden
BOMILL;BoMill
BONAV A;Bonava A
BONAV B;Bonava B
BONEX;Bonesupport
BONG;Bong Ljungdahl
BONAS;Bonäsudden
BOOZT;Boozt
BOTX;Botnia Exploration
BOUL;Boule Diagnostics
BPCINS;BPC Instruments
BRAIN;BrainCool
BRANDB;BrandBee
BRAV;Bravida
2,00 BRE;Bredband2
BRIGHT;BrightBid
BRILL;Brilliant Future
BRIN B;Brinova Fastigheter
BRIX;Briox
BMC;Brock Milton Capital
BTS B;BTS Group
BBROOM;Bubbleroom
BUFAB;Bufab
BULTEN;Bulten
BURE;Bure Equity
BMAX;Byggmax
AJA B;Byggmästare AJ Ahlström
BYGGP;Byggpartner
CAG;CAG Group
CAMX;Camurus
CANDLE B;Candles Scandinavia
CANTA;Cantargia
CARA;Carasent
CRBX;Carbiotix
CARDEO;Cardeon
CARE;Careium
CASE;Case Group
CAST;Castellum
CAT A;Catella A
CAT B;Catella B
CATE;Catena
CTM;Catena Media
CCC;Cavotec
CDON;CDON
CEDER;Cedergrenska
CI;Cell Impact
CEVI;CellaVision
CRNO B;Cereno Scientific
CHARGE;ChargePanel
CHECK;checkin.com
CHEF;Cheffelo
CMOTEC B;ChemoTech
CMH;Chordate Medical
CMH PREF;Chordate Medical Pref
CHOSA;CHOSA Oncology
CIBUS;Cibus Nordic
CINPHA;Cinclus Pharma
CINIS;Cinis Fertilizer
CINT;Cint Group
CIRCHE;CirChem
CIRCLE B;Circle Energy
CLAS B;Clas Ohlson
CLAV;Clavister
CLEMO;Clean Motion
CLEM;Clemondo
CLIME B;Climeon
CLS B;Clinical Laserthermia
CLA B;Cloetta
CDMIL;CodeMill
COEGIN;Coegin Pharma
CS;CoinShares
COMBI;CombiGene
CX;CombinedX
COMINT;Comintelli
COMPDM;Compodium
CNCJO B;Concejo B
CONDO;Condo Nordic
CAM B;Consensus
SX5010PI;Construction & Materials
SX4020PI;Consumer Products
SX402010PI;Consumer Services
COOR;Coor Service Management
CORE A;Corem Property A
CORE B;Corem Property B
CORE D;Corem Property D
CORE PREF;Corem Property Pref
CLBIO;Corline Biomedical
CRAD B;C-RAD
CRED A;Creades
CRET;Creturner
CRWN;Crown Energy
CFISH;Crunchfish
CTEK;CTEK
CTT;CTT Systems
CYB1;Cyber Security 1
CYCLE;Cyclezyme
DE;Dala Energi
DEDI;Dedicare
DSNO;Desenio
DEVP B;DevPort
DVYSR;Devyser Diagnostics
DEX;DexTech Medical
DIAH;Diadrom
DIABIO;Diagonal Bio
DMYD B;Diamyd Medical
DICOT;Dicot Pharma
DIST;DistIT
DMXSE SDB;District Metals
DIV B;Dividend Sweden
DIVIO B;Divio Technologies
DIOS;Diös Fastigheter
DLAB;Dlaboratory
DOM;Dometic
DONE;Done.ai
DORO;Doro
DBP B;Double Bond Pharma
DOXA;Doxa
DRIL;Drillcon
DUG;Dug Foodtech
DUNI;Duni
DURC B;Duroc
DUST;Dustin Group
DYVOX;Dynavox Group
EAST;Eastnine
EASY B;EasyFill
EATG;EatGood
ECC B;Ecoclime
ECOMB;ECOMB
ECO B;EcoRub
EDYOU;Edyoutec
ALBERT;eEducation Albert
EEVIA;Eevia Health
EFFH;Effnetplattformen
EGTX;Egetis Therapeutics
ELAN B;Elanders
SX651010PI;Electricity
ELUX A;Electrolux A
ELUX B;Electrolux B
EPRO B;Electrolux Professional B
SX502020PI;Electronic Equipment
EKTA B;Elekta
ELIC;Elicera Therapeutics
ELN;Ellen
ELLWEE;ELLWEE
ELON;Elon
ELTEL;Eltel
EMB;EMB Mission Bound
EMART;EmbeddedArt
EMBELL;Embellence
EMBRAC B;Embracer
EG7;Enad Global 7
ENEA;Enea
ESGR B;Energy Save
ENERS;Enersize
ENGCON B;Engcon
ENRO;Eniro
