"Name";"Description"
"2CUREX.ST";"2cureX"
"4C.ST";"4C Group"
"AAC.ST";"AAC Clyde Space"
"AAK.ST";"AAK"
"ABAS.ST";"ABAS Protect"
"ABB.ST";"ABB"
"ABIG.ST";"Abelco Investment"
"ABERA.ST";"Abera Bioscience"
"ABSO.ST";"Absolent Air Care"
"ABSL-B.ST";"Absolicon"
"ACAD.ST";"AcadeMedia"
"ACARIX.ST";"Acarix"
"ACAST.ST";"Acast"
"ACCON.ST";"Acconeer"
"PADEL.ST";"Acenta Group"
"ACOU.ST";"AcouSort"
"ACRI-A.ST";"Acrinova A"
"ACRI-B.ST";"Acrinova B"
"ACROUD.ST";"Acroud"
"ATIC.ST";"Actic Group"
"ACTI.ST";"Active Biotech"
"ACUC.ST";"AcuCort"
"ACUVI.ST";"Acuvi"
"ALIF-B.ST";"AddLife"
"ANOD-B.ST";"Addnode"
"ADDT-B.ST";"Addtech"
"ADDV-A.ST";"ADDvise Group A"
"ADDV-B.ST";"ADDvise Group B"
"ADTR.ST";"Adtraction"
"ADVE.ST";"Advenica"
"ADVBOX.ST";"Adventure Box"
"ADVT.ST";"Adverty"
"AERW-B.ST";"Aerowash"
"AEC.ST";"Africa Energy"
"AFRI.ST";"Africa Resources"
"AFRY.ST";"AFRY"
"AGES-B.ST";"Ages Industri"
"AGTIRA-B.ST";"Agtira"
"AIK-B.ST";"AIK Fotboll"
"AINO.ST";"Aino Health"
"AIXIA-B.ST";"Aixia"
"ALCA.ST";"Alcadon Group"
"ALFA.ST";"Alfa Laval"
"ALIG.ST";"Alimak"
"ALLEI.ST";"Alleima"
"ATORX.ST";"Alligator Bioscience"
"ALLIGO-B.ST";"Alligo"
"ALM.ST";"ALM Equity"
"ALPCOT-B.ST";"Alpcot"
"ALVO-SDB.ST";"Alvotech SDB"
"ALZCUR.ST";"AlzeCure Pharma"
"ALZ.ST";"Alzinova"
"AMBEA.ST";"Ambea"
"AMH2-B.ST";"Amhult 2"
"AMIDO.ST";"Amido"
"AMNO.ST";"Amnode"
"ANGL.ST";"Angler Gaming"
"ANNE-B.ST";"Annehem Fastigheter"
"ANNX.ST";"Annexin"
"ANOT.ST";"Anoto"
"ANTCO-B.ST";"ANTCO Investment"
"APOTEA.ST";"Apotea"
"APTA.ST";"Aptahem"
"AQ.ST";"AQ Group"
"AQUAT.ST";"Aquaticus Real Estate"
"ARBO-A.ST";"Arbona A"
"ALONNR-B.ST";"Archelon Natural"
"ARCOMA.ST";"Arcoma"
"ARCTIC.ST";"Arctic Blue Beverages"
"ARCT.ST";"Arctic Minerals"
"ARP.ST";"Arctic Paper"
"ARION-SDB.ST";"Arion Banki"
"ARISE.ST";"Arise Windpower"
"ARJO-B.ST";"Arjo"
"ARPL.ST";"Arla Plast"
"AGROUP.ST";"Arlandastad"
"ACE.ST";"Ascelia Pharma"
"ASKER.ST";"Asker Healthcare"
"ASMDEE-B.ST";"Asmodee"
"ASSA-B.ST";"Assa Abloy"
"AZN.ST";"AstraZeneca"
"ATIN.ST";"Athanase Innovation"
"ATCO-A.ST";"Atlas Copco A"
"ATCO-B.ST";"Atlas Copco B"
"ATRLJ-B.ST";"Atrium Ljungberg"
"ATANA.ST";"Attana"
"ATT.ST";"Attendo"
"ALIV-SDB.ST";"Autoliv"
"AZA.ST";"Avanza Bank"
"AVEN.ST";"Avensia"
"AVSALT.ST";"Avsalt Group"
"AVT-B.ST";"Avtech"
"AXFO.ST";"Axfood"
"AXIC-A.ST";"aXichem"
"AXOLOT.ST";"Axolot Solutions"
"B3.ST";"B3 Consulting"
"BACKA.ST";"Backaheden"
"BACTI-B.ST";"Bactiguard"
"BAHN-B.ST";"Bahnhof"
"BALCO.ST";"Balco Group"
"BUSER.ST";"Bambuser"
"BAWAT.ST";"Bawat Water"
"BEGR.ST";"BE Group"
"BEAMMW-B.ST";"BeammWave"
"BEIA-B.ST";"Beijer Alma"
"BEIJ-B.ST";"Beijer Ref"
"BEO-SDB.ST";"Beowulf Mining"
